time;tmp;mslp;sp;tp;irradiance
2022-08-17 18:00:00;22.478912353515625;1017.7212524414062;928.9737548828125;0.0;21.81333351135254
2022-08-17 19:00:00;20.569000244140625;1018.4962768554688;929.4243774414062;0.0;0.0
2022-08-17 20:00:00;19.358795166015625;1019.4762573242188;930.135009765625;0.0;0.0
2022-08-17 21:00:00;18.459381103515625;1020.2112426757812;930.6693725585938;9.5367431640625e-07;0.0
2022-08-17 22:00:00;18.179840087890625;1020.6268920898438;930.9468994140625;1.430511474609375e-06;0.0
2022-08-17 23:00:00;17.475982666015625;1020.8387451171875;931.068115234375;1.9073486328125e-06;0.0
2022-08-18 00:00:00;16.831207275390625;1021.05126953125;931.22314453125;4.76837158203125e-07;0.0
2022-08-18 01:00:00;16.490631103515625;1020.46875;930.6587524414062;4.76837158203125e-07;0.0
2022-08-18 02:00:00;15.947418212890625;1020.0287475585938;930.2106323242188;4.76837158203125e-07;0.0
2022-08-18 03:00:00;14.833770751953125;1019.51123046875;929.7093505859375;0.0;0.0
2022-08-18 04:00:00;14.789947509765625;1019.3618774414062;929.5381469726562;0.0;0.0
2022-08-18 05:00:00;14.445953369140625;1019.2987670898438;929.447509765625;4.76837158203125e-07;0.0
2022-08-18 06:00:00;14.446929931640625;1019.8256225585938;929.9081420898438;0.0;0.0
2022-08-18 07:00:00;17.058380126953125;1020.0744018554688;930.18310546875;1.9073486328125e-06;39.413333892822266
2022-08-18 08:00:00;18.782135009765625;1020.7575073242188;930.9681396484375;9.5367431640625e-07;178.0977783203125
2022-08-18 09:00:00;20.103668212890625;1021.369384765625;931.733154296875;1.1444091796875e-05;227.73333740234375
2022-08-18 10:00:00;21.373443603515625;1020.94189453125;931.5031127929688;1.9073486328125e-06;359.9822082519531
2022-08-18 11:00:00;21.577301025390625;1020.389404296875;931.1487426757812;0.0;343.0755615234375
2022-08-18 12:00:00;23.853912353515625;1019.55810546875;930.4693603515625;0.0;446.41778564453125
2022-08-18 13:00:00;24.361480712890625;1018.484375;929.594970703125;0.0;464.4977722167969
2022-08-18 14:00:00;25.029205322265625;1017.61376953125;928.8943481445312;0.0;495.4666748046875
2022-08-18 15:00:00;25.307525634765625;1017.2862548828125;928.6587524414062;0.0;485.1199951171875
2022-08-18 16:00:00;24.980133056640625;1017.0387573242188;928.43310546875;0.0;332.5688781738281
2022-08-18 17:00:00;23.633941650390625;1017.7562255859375;929.041259765625;0.0;145.17333984375
2022-08-18 18:00:00;21.317291259765625;1018.150634765625;929.2806396484375;0.0;15.199999809265137
